A compendium of geochemical information from the Saanich Inlet water column. ScientificData. Nature,,,,,,,,,,,,,
"Authors: Monica Torres Beltran, Alyse K. Hawely, David Capelle, Elena Zaikova, David A. Walsh, Andreas Mueller ",,,,,,,,,,,,,
"Melanie Scofield, Sam Kheirandish, Chris Payne, Larysa Pakhomova, Maya Bathia, Olena Shevchuk, Esther A. Gies",,,,,,,,,,,,,
"Diane Fairley, Tijana Glavina del Rio, Susannah Tringe, Frank Whitney, Philippe D. Tortell, Steven J. Hallam",,,,,,,,,,,,,
"Affiliations:Department of Microbiology and Immunology, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
"Earth, Ocean and Atmospheric Sciences, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
"Department of Biology, Concordia University, Montreal, QC.Canada",,,,,,,,,,,,,
"Department of Energy Joint Genome Institute, Walnut Creek, CA.USA",,,,,,,,,,,,,
"Institute of Ocean Sciences, Fisheries and Oceans Canada, Sidney, BC. Canada",,,,,,,,,,,,,
"Department of Botany, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
"Genome Science and Technology Program, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
,,,,,,,,,,,,,
Saanich Inlet time-series chemical dataset,,,,,,,,,,,,,
Data derived from seawater samples taken as described in manuscript methods,,,,,,,,,,,,,
Key to the data fields is described on Saanich_TimeSeries_CTD_dataset_README.csv file,,,,,,,,,,,,,
,,,,,,,,,,,,,
Longitude,Latitude,Cruise,Date,Pressure,Temperature ,Conductivity,Fluorescence,Beam Transmission,PAR/Irradiance,"Oxygen, SBE",Oxygen ,Salinity,Density
-123.505,48.59166667,92,2014-02-12,119,8.685,33.084,0.128,0.728,2.098,0.537,23.428,30.998,24.035
-123.505,48.59166667,92,2014-02-12,120,8.75,33.162,0.122,0.691,2.108,0.372,16.241,31.02,24.043
-123.505,48.59166667,92,2014-02-12,121,8.795,33.218,0.111,0.644,2.122,0.185,8.072,31.039,24.051
-123.505,48.59166667,92,2014-02-12,122,8.847,33.282,0.103,0.598,2.148,0.085,3.703,31.06,24.059
-123.505,48.59166667,92,2014-02-12,123,8.948,33.404,0.089,0.567,2.138,0.069,2.996,31.097,24.074
-123.505,48.59166667,92,2014-02-12,124,9.009,33.487,0.086,0.548,2.131,0.063,2.756,31.129,24.089
-123.505,48.59166667,92,2014-02-12,125,9.027,33.516,0.082,0.536,2.134,0.062,2.686,31.142,24.097
-123.505,48.59166667,92,2014-02-12,126,9.033,33.527,0.086,0.53,2.141,0.057,2.499,31.148,24.1
-123.505,48.59166667,92,2014-02-12,127,9.048,33.552,0.086,0.526,2.133,0.056,2.425,31.161,24.108
-123.505,48.59166667,92,2014-02-12,128,9.052,33.559,0.086,0.522,2.132,0.045,1.949,31.164,24.11
-123.505,48.59166667,92,2014-02-12,129,9.056,33.567,0.083,0.519,2.137,0.034,1.474,31.167,24.112
-123.505,48.59166667,92,2014-02-12,130,9.063,33.577,0.083,0.515,2.134,0.024,1.051,31.172,24.115
-123.505,48.59166667,92,2014-02-12,131,9.069,33.588,0.086,0.512,2.118,0.026,1.121,31.177,24.118
-123.505,48.59166667,92,2014-02-12,132,9.066,33.594,0.086,0.511,2.102,0.022,0.955,31.186,24.125
-123.505,48.59166667,92,2014-02-12,133,9.072,33.613,0.097,0.51,2.108,0.021,0.911,31.199,24.134
-123.505,48.59166667,92,2014-02-12,134,9.07,33.614,0.1,0.508,2.107,0.018,0.781,31.201,24.136
-123.505,48.59166667,92,2014-02-12,135,9.07,33.616,0.089,0.508,2.107,0.021,0.933,31.203,24.138
-123.505,48.59166667,92,2014-02-12,136,9.074,33.624,0.098,0.508,2.108,0.018,0.789,31.208,24.141
-123.505,48.59166667,92,2014-02-12,137,9.075,33.627,0.1,0.508,2.105,0.02,0.859,31.21,24.143
-123.505,48.59166667,92,2014-02-12,138,9.075,33.63,0.1,0.507,2.107,0.019,0.837,31.212,24.144
-123.505,48.59166667,92,2014-02-12,139,9.075,33.631,0.1,0.507,2.108,0.02,0.855,31.212,24.144
-123.505,48.59166667,92,2014-02-12,140,9.078,33.635,0.104,0.507,2.11,0.02,0.855,31.214,24.146
-123.505,48.59166667,92,2014-02-12,141,9.08,33.642,0.104,0.507,2.108,0.016,0.711,31.219,24.149
-123.505,48.59166667,92,2014-02-12,142,9.079,33.644,0.104,0.507,2.11,0.016,0.711,31.222,24.152
-123.505,48.59166667,92,2014-02-12,143,9.077,33.644,0.101,0.507,2.112,0.017,0.759,31.223,24.152
-123.505,48.59166667,92,2014-02-12,144,9.077,33.645,0.152,0.506,2.11,0.016,0.698,31.223,24.153
-123.505,48.59166667,92,2014-02-12,145,9.082,33.655,0.135,0.507,2.107,0.018,0.772,31.228,24.156
-123.505,48.59166667,92,2014-02-12,146,9.085,33.659,0.106,0.507,2.112,0.018,0.772,31.23,24.157
-123.505,48.59166667,92,2014-02-12,147,9.084,33.66,0.104,0.506,2.113,0.014,0.628,31.232,24.158
-123.505,48.59166667,92,2014-02-12,148,9.085,33.662,0.107,0.506,2.104,0.018,0.772,31.232,24.158
-123.505,48.59166667,92,2014-02-12,149,9.083,33.662,0.111,0.507,2.108,0.017,0.737,31.233,24.16
-123.505,48.59166667,92,2014-02-12,150,9.075,33.656,0.118,0.506,2.108,0.015,0.654,31.234,24.161
-123.505,48.59166667,92,2014-02-12,151,9.071,33.652,0.121,0.506,2.11,0.016,0.693,31.234,24.162
-123.505,48.59166667,92,2014-02-12,152,9.066,33.651,0.122,0.506,2.111,0.016,0.698,31.235,24.164
-123.505,48.59166667,92,2014-02-12,153,9.075,33.661,0.122,0.506,2.113,0.016,0.698,31.238,24.165
-123.505,48.59166667,92,2014-02-12,154,9.074,33.662,0.122,0.506,2.112,0.016,0.698,31.239,24.166
-123.505,48.59166667,92,2014-02-12,155,9.076,33.666,0.122,0.506,2.118,0.014,0.615,31.241,24.167
-123.505,48.59166667,92,2014-02-12,156,9.076,33.667,0.118,0.506,2.123,0.017,0.75,31.242,24.168
-123.505,48.59166667,92,2014-02-12,157,9.073,33.666,0.142,0.506,2.128,0.016,0.698,31.242,24.168
-123.505,48.59166667,92,2014-02-12,158,9.074,33.668,0.153,0.506,2.126,0.016,0.698,31.243,24.169
-123.505,48.59166667,92,2014-02-12,159,9.077,33.671,0.208,0.506,2.127,0.016,0.698,31.244,24.169
-123.505,48.59166667,92,2014-02-12,160,9.076,33.672,0.204,0.506,2.124,0.016,0.698,31.245,24.17
-123.505,48.59166667,92,2014-02-12,161,9.074,33.672,0.141,0.506,2.126,0.016,0.698,31.247,24.172
-123.505,48.59166667,92,2014-02-12,162,9.074,33.673,0.139,0.506,2.131,0.016,0.698,31.247,24.172
-123.505,48.59166667,92,2014-02-12,163,9.073,33.673,0.196,0.506,2.125,0.014,0.597,31.248,24.173
-123.505,48.59166667,92,2014-02-12,164,9.071,33.673,0.224,0.506,2.127,0.016,0.715,31.248,24.174
-123.505,48.59166667,92,2014-02-12,165,9.07,33.672,0.217,0.506,2.131,0.017,0.733,31.249,24.174
-123.505,48.59166667,92,2014-02-12,166,9.067,33.671,0.222,0.506,2.125,0.015,0.632,31.249,24.175
-123.505,48.59166667,92,2014-02-12,167,9.065,33.671,0.228,0.506,2.127,0.013,0.563,31.25,24.176
-123.505,48.59166667,92,2014-02-12,168,9.066,33.672,0.158,0.505,2.132,0.015,0.632,31.251,24.176
-123.505,48.59166667,92,2014-02-12,169,9.066,33.674,0.188,0.506,2.131,0.017,0.754,31.252,24.177
-123.505,48.59166667,92,2014-02-12,170,9.065,33.674,0.221,0.506,2.134,0.013,0.558,31.252,24.178
-123.505,48.59166667,92,2014-02-12,171,9.063,33.673,0.17,0.505,2.132,0.015,0.672,31.252,24.178
-123.505,48.59166667,92,2014-02-12,172,9.062,33.672,0.171,0.506,2.134,0.018,0.763,31.253,24.179
-123.505,48.59166667,92,2014-02-12,173,9.063,33.674,0.172,0.506,2.133,0.014,0.615,31.253,24.179
-123.505,48.59166667,92,2014-02-12,174,9.062,33.674,0.167,0.506,2.132,0.017,0.759,31.253,24.179
-123.505,48.59166667,92,2014-02-12,175,9.062,33.675,0.229,0.506,2.133,0.015,0.637,31.254,24.179
-123.505,48.59166667,92,2014-02-12,176,9.062,33.675,0.231,0.505,2.139,0.012,0.506,31.254,24.18
-123.505,48.59166667,92,2014-02-12,177,9.062,33.676,0.235,0.506,2.134,0.016,0.693,31.255,24.18
-123.505,48.59166667,92,2014-02-12,178,9.062,33.678,0.245,0.505,2.136,0.012,0.532,31.256,24.181
-123.505,48.59166667,92,2014-02-12,179,9.061,33.678,0.235,0.505,2.139,0.014,0.619,31.256,24.181
-123.505,48.59166667,92,2014-02-12,180,9.061,33.678,0.242,0.506,2.136,0.018,0.763,31.256,24.181
-123.505,48.59166667,92,2014-02-12,181,9.061,33.679,0.242,0.506,2.134,0.014,0.619,31.256,24.181
-123.505,48.59166667,92,2014-02-12,182,9.061,33.679,0.246,0.506,2.136,0.016,0.689,31.256,24.181
-123.505,48.59166667,92,2014-02-12,183,9.061,33.68,0.242,0.506,2.144,0.015,0.667,31.257,24.182
-123.505,48.59166667,92,2014-02-12,184,9.061,33.68,0.245,0.506,2.134,0.014,0.61,31.257,24.182
-123.505,48.59166667,92,2014-02-12,185,9.061,33.681,0.245,0.505,2.136,0.012,0.519,31.257,24.182
-123.505,48.59166667,92,2014-02-12,186,9.061,33.682,0.245,0.506,2.137,0.014,0.615,31.258,24.183
-123.505,48.59166667,92,2014-02-12,187,9.061,33.683,0.245,0.505,2.147,0.014,0.61,31.258,24.183
-123.505,48.59166667,92,2014-02-12,188,9.061,33.684,0.242,0.505,2.139,0.011,0.488,31.258,24.183
-123.505,48.59166667,92,2014-02-12,189,9.061,33.684,0.245,0.505,2.14,0.014,0.593,31.258,24.183
-123.505,48.59166667,92,2014-02-12,190,9.061,33.685,0.247,0.505,2.144,0.013,0.554,31.259,24.183
-123.505,48.59166667,92,2014-02-12,191,9.061,33.685,0.245,0.505,2.152,0.013,0.567,31.259,24.184
-123.505,48.59166667,92,2014-02-12,192,9.061,33.686,0.243,0.505,2.177,0.012,0.536,31.259,24.184
-123.505,48.59166667,92,2014-02-12,193,9.061,33.687,0.244,0.505,2.183,0.012,0.541,31.26,24.185
-123.505,48.59166667,92,2014-02-12,194,9.061,33.687,0.242,0.505,2.183,0.012,0.541,31.26,24.185
-123.505,48.59166667,92,2014-02-12,195,9.06,33.688,0.245,0.505,2.184,0.012,0.541,31.26,24.185
-123.505,48.59166667,92,2014-02-12,196,9.059,33.688,0.243,0.505,2.185,0.012,0.541,31.262,24.186
-123.505,48.59166667,92,2014-02-12,197,9.058,33.689,0.246,0.505,2.186,0.012,0.541,31.263,24.187
-123.505,48.59166667,92,2014-02-12,198,9.058,33.69,0.245,0.505,2.188,0.012,0.541,31.263,24.187
-123.505,48.59166667,92,2014-02-12,199,9.058,33.69,0.25,0.505,2.188,0.012,0.541,31.263,24.188
-123.505,48.59166667,92,2014-02-12,200,9.058,33.691,0.246,0.505,2.189,0.012,0.541,31.263,24.188
-123.505,48.59166667,92,2014-02-12,201,9.058,33.691,0.245,0.505,2.189,0.012,0.515,31.263,24.188
-123.505,48.59166667,92,2014-02-12,202,9.06,33.693,0.256,0.505,2.263,0.012,0.523,31.263,24.188
-123.505,48.59166667,93,2014-03-12,1,7.913,16.816,33.886,3.815,769.7,10.947,483.259,14.994,11.613
-123.505,48.59166667,93,2014-03-12,2,7.878,26.904,57.315,3.584,302.43,9.759,427.392,25.34,19.716
-123.505,48.59166667,93,2014-03-12,3,7.563,30.785,20.368,2.363,151.96,5.504,240.271,29.587,23.084
-123.505,48.59166667,93,2014-03-12,4,7.569,30.668,7.629,2.343,72.275,5.357,233.879,29.471,22.993
-123.505,48.59166667,93,2014-03-12,5,7.48,30.792,3.687,2.261,54.094,5.305,231.57,29.678,23.168
-123.505,48.59166667,93,2014-03-12,6,7.428,30.839,2.623,2.22,42.95,5.296,231.137,29.773,23.249
-123.505,48.59166667,93,2014-03-12,7,7.409,30.849,2.09,2.195,34.716,5.273,230.128,29.799,23.272
-123.505,48.59166667,93,2014-03-12,8,7.403,30.865,1.956,2.177,28.184,5.235,228.461,29.821,23.29
-123.505,48.59166667,93,2014-03-12,9,7.411,30.921,1.855,2.162,23.023,5.194,226.68,29.873,23.33
-123.505,48.59166667,93,2014-03-12,10,7.417,30.968,1.731,2.148,18.814,5.163,225.302,29.917,23.364
-123.505,48.59166667,93,2014-03-12,11,7.395,30.983,1.657,2.138,15.736,5.144,224.466,29.952,23.394
-123.505,48.59166667,93,2014-03-12,12,7.376,30.983,1.491,2.129,13.335,5.126,223.695,29.968,23.409
-123.505,48.59166667,93,2014-03-12,13,7.401,31.039,1.544,2.122,11.37,5.111,223.048,30.006,23.436
-123.505,48.59166667,93,2014-03-12,14,7.401,31.05,1.568,2.117,9.715,5.098,222.474,30.018,23.445
-123.505,48.59166667,93,2014-03-12,15,7.4,31.06,1.45,2.11,8.325,5.058,220.723,30.028,23.453
-123.505,48.59166667,93,2014-03-12,16,7.408,31.083,1.41,2.099,7.18,5.017,218.922,30.046,23.466
-123.505,48.59166667,93,2014-03-12,17,7.406,31.107,1.297,2.089,6.262,4.979,217.268,30.073,23.488
-123.505,48.59166667,93,2014-03-12,18,7.384,31.096,1.209,2.078,5.506,4.951,216.049,30.08,23.496
-123.505,48.59166667,93,2014-03-12,19,7.377,31.093,1.152,2.07,4.914,4.949,215.961,30.082,23.499
-123.505,48.59166667,93,2014-03-12,20,7.372,31.1,1.133,2.066,4.465,4.954,216.169,30.093,23.508
-123.505,48.59166667,93,2014-03-12,21,7.378,31.113,1.162,2.063,4.107,4.952,216.08,30.102,23.515
-123.505,48.59166667,93,2014-03-12,22,7.384,31.123,1.127,2.062,3.736,4.957,216.297,30.107,23.517
-123.505,48.59166667,93,2014-03-12,23,7.385,31.128,1.082,2.062,3.471,4.955,216.214,30.11,23.52
-123.505,48.59166667,93,2014-03-12,24,7.385,31.132,1.056,2.061,3.284,4.95,215.991,30.115,23.523
-123.505,48.59166667,93,2014-03-12,25,7.384,31.135,1.045,2.059,2.953,4.941,215.58,30.118,23.526
-123.505,48.59166667,93,2014-03-12,26,7.382,31.14,1.005,2.057,2.809,4.933,215.23,30.125,23.532
-123.505,48.59166667,93,2014-03-12,27,7.377,31.145,0.946,2.056,2.692,4.934,215.298,30.134,23.539
-123.505,48.59166667,93,2014-03-12,28,7.373,31.148,0.915,2.054,2.596,4.919,214.616,30.14,23.545
-123.505,48.59166667,93,2014-03-12,29,7.372,31.151,0.906,2.049,2.477,4.897,213.682,30.145,23.549
-123.505,48.59166667,93,2014-03-12,30,7.37,31.153,0.9,2.045,2.389,4.89,213.358,30.147,23.551
-123.505,48.59166667,93,2014-03-12,31,7.367,31.153,0.849,2.043,2.328,4.895,213.576,30.15,23.553
-123.505,48.59166667,93,2014-03-12,32,7.363,31.154,0.83,2.042,2.244,4.895,213.584,30.153,23.557
-123.505,48.59166667,93,2014-03-12,33,7.36,31.157,0.783,2.042,2.217,4.902,213.871,30.16,23.562
-123.505,48.59166667,93,2014-03-12,34,7.358,31.161,0.762,2.041,2.174,4.898,213.722,30.164,23.566
-123.505,48.59166667,93,2014-03-12,35,7.356,31.162,0.733,2.041,2.153,4.899,213.738,30.167,23.568
-123.505,48.59166667,93,2014-03-12,36,7.357,31.172,0.71,2.041,2.097,4.905,213.99,30.176,23.575
-123.505,48.59166667,93,2014-03-12,37,7.362,31.185,0.692,2.042,2.068,4.902,213.884,30.185,23.582
-123.505,48.59166667,93,2014-03-12,38,7.365,31.193,0.661,2.04,2.05,4.882,212.989,30.191,23.586
-123.505,48.59166667,93,2014-03-12,39,7.371,31.207,0.725,2.035,2.038,4.84,211.168,30.2,23.592
-123.505,48.59166667,93,2014-03-12,40,7.39,31.233,0.666,2.026,2.009,4.8,209.439,30.211,23.598
-123.505,48.59166667,93,2014-03-12,41,7.424,31.279,0.612,2.017,1.985,4.773,208.228,30.23,23.609
-123.505,48.59166667,93,2014-03-12,42,7.44,31.304,0.597,2.01,1.981,4.75,207.241,30.243,23.617
-123.505,48.59166667,93,2014-03-12,43,7.448,31.322,0.592,2.001,1.972,4.713,205.62,30.255,23.625
-123.505,48.59166667,93,2014-03-12,44,7.448,31.332,0.545,1.991,1.943,4.677,204.066,30.265,23.633
-123.505,48.59166667,93,2014-03-12,45,7.474,31.367,0.535,1.98,1.949,4.619,201.534,30.279,23.641
-123.505,48.59166667,93,2014-03-12,46,7.488,31.386,0.536,1.965,1.945,4.553,198.623,30.287,23.645
-123.505,48.59166667,93,2014-03-12,47,7.512,31.427,0.541,1.946,1.925,4.475,195.23,30.309,23.659
-123.505,48.59166667,93,2014-03-12,48,7.546,31.471,0.592,1.928,1.926,4.431,193.313,30.327,23.669
-123.505,48.59166667,93,2014-03-12,49,7.581,31.515,0.574,1.913,1.923,4.401,192.003,30.342,23.676
-123.505,48.59166667,93,2014-03-12,50,7.601,31.539,0.512,1.897,1.918,4.336,189.145,30.35,23.679
-123.505,48.59166667,93,2014-03-12,51,7.621,31.563,0.526,1.877,1.913,4.269,186.256,30.357,23.683
-123.505,48.59166667,93,2014-03-12,52,7.658,31.608,0.491,1.862,1.909,4.237,184.863,30.372,23.689
-123.505,48.59166667,93,2014-03-12,53,7.683,31.637,0.462,1.845,1.907,4.194,182.96,30.381,23.693
-123.505,48.59166667,93,2014-03-12,54,7.705,31.664,0.479,1.829,1.902,4.146,180.852,30.389,23.696
-123.505,48.59166667,93,2014-03-12,55,7.721,31.683,0.463,1.815,1.904,4.1,178.871,30.396,23.7
-123.505,48.59166667,93,2014-03-12,56,7.74,31.707,0.458,1.805,1.908,4.061,177.165,30.405,23.704
-123.505,48.59166667,93,2014-03-12,57,7.758,31.73,0.449,1.795,1.91,4.027,175.676,30.413,23.708
-123.505,48.59166667,93,2014-03-12,58,7.771,31.749,0.429,1.785,1.902,3.988,173.987,30.421,23.712
-123.505,48.59166667,93,2014-03-12,59,7.792,31.775,0.425,1.767,1.906,3.858,168.307,30.43,23.717
-123.505,48.59166667,93,2014-03-12,60,7.811,31.802,0.411,1.738,1.897,3.781,164.925,30.442,23.723
-123.505,48.59166667,93,2014-03-12,61,7.88,31.886,0.396,1.727,1.899,3.893,169.848,30.47,23.736
-123.505,48.59166667,93,2014-03-12,62,7.886,31.907,0.378,1.754,1.899,4.086,178.256,30.487,23.748
-123.505,48.59166667,93,2014-03-12,63,7.729,31.777,0.377,1.789,1.902,4.182,182.432,30.485,23.768
-123.505,48.59166667,93,2014-03-12,64,7.633,31.693,0.406,1.808,1.897,4.214,183.805,30.479,23.777
-123.505,48.59166667,93,2014-03-12,65,7.619,31.681,0.4,1.821,1.901,4.222,184.184,30.479,23.778
-123.505,48.59166667,93,2014-03-12,66,7.594,31.665,0.407,1.827,1.901,4.216,183.895,30.483,23.785
-123.505,48.59166667,93,2014-03-12,67,7.607,31.686,0.414,1.818,1.905,4.102,178.938,30.494,23.792
-123.505,48.59166667,93,2014-03-12,68,7.713,31.806,0.373,1.737,1.907,3.744,163.311,30.528,23.804
-123.505,48.59166667,93,2014-03-12,69,7.793,31.896,0.337,1.707,1.907,3.679,160.5,30.553,23.813
-123.505,48.59166667,93,2014-03-12,70,7.818,31.926,0.328,1.681,1.91,3.605,157.245,30.562,23.817
-123.505,48.59166667,93,2014-03-12,71,7.857,31.973,0.324,1.66,1.912,3.523,153.654,30.577,23.823
-123.505,48.59166667,93,2014-03-12,72,7.9,32.023,0.325,1.622,1.908,3.314,144.572,30.593,23.829
-123.505,48.59166667,93,2014-03-12,73,7.936,32.067,0.302,1.583,1.912,3.253,141.897,30.607,23.836
-123.505,48.59166667,93,2014-03-12,74,8.029,32.175,0.317,1.566,1.91,3.316,144.647,30.64,23.848
-123.505,48.59166667,93,2014-03-12,75,8.017,32.175,0.293,1.567,1.916,3.333,145.37,30.65,23.858
-123.505,48.59166667,93,2014-03-12,76,7.949,32.12,0.307,1.558,1.912,3.274,142.813,30.65,23.868
-123.505,48.59166667,93,2014-03-12,77,7.922,32.109,0.342,1.551,1.916,3.276,142.907,30.662,23.881
-123.505,48.59166667,93,2014-03-12,78,7.932,32.133,0.337,1.546,1.918,3.258,142.12,30.677,23.892
-123.505,48.59166667,93,2014-03-12,79,7.939,32.152,0.303,1.541,1.915,3.248,141.67,30.691,23.902
-123.505,48.59166667,93,2014-03-12,80,7.956,32.173,0.311,1.534,1.924,3.231,140.91,30.698,23.904
-123.505,48.59166667,93,2014-03-12,81,8.038,32.274,0.429,1.425,1.939,2.742,119.614,30.733,23.921
-123.505,48.59166667,93,2014-03-12,82,8.102,32.355,0.152,1.353,1.961,2.759,120.319,30.762,23.934
-123.505,48.59166667,93,2014-03-12,83,8.227,32.489,0.339,1.232,1.962,2.128,92.828,30.791,23.939
-123.505,48.59166667,93,2014-03-12,84,8.299,32.573,0.352,1.226,1.966,2.294,100.049,30.818,23.95
-123.505,48.59166667,93,2014-03-12,85,8.238,32.523,0.355,1.249,1.968,2.507,109.343,30.817,23.958
-123.505,48.59166667,93,2014-03-12,86,8.182,32.474,0.326,1.302,1.961,2.794,121.842,30.815,23.965
-123.505,48.59166667,93,2014-03-12,87,8.069,32.371,0.272,1.364,1.966,2.971,129.592,30.805,23.973
-123.505,48.59166667,93,2014-03-12,88,7.946,32.257,0.272,1.405,1.96,2.951,128.718,30.792,23.98
-123.505,48.59166667,93,2014-03-12,89,7.92,32.235,0.266,1.407,1.969,2.784,121.439,30.791,23.983
-123.505,48.59166667,93,2014-03-12,90,7.933,32.252,0.263,1.386,1.968,2.686,117.125,30.798,23.987
-123.505,48.59166667,93,2014-03-12,91,7.985,32.308,0.266,1.373,1.973,2.704,117.923,30.81,23.988
-123.505,48.59166667,93,2014-03-12,92,8.008,32.332,0.266,1.374,1.97,2.801,122.166,30.816,23.989
-123.505,48.59166667,93,2014-03-12,93,7.99,32.319,0.263,1.394,1.979,2.951,128.686,30.817,23.993
-123.505,48.59166667,93,2014-03-12,94,7.961,32.293,0.263,1.424,1.974,3.055,133.222,30.815,23.995
-123.505,48.59166667,93,2014-03-12,95,7.907,32.244,0.271,1.447,1.982,3.075,134.115,30.81,24
-123.505,48.59166667,93,2014-03-12,96,7.873,32.214,0.281,1.459,1.977,3.07,133.906,30.808,24.002
-123.505,48.59166667,93,2014-03-12,97,7.869,32.21,0.278,1.462,1.973,3.017,131.59,30.807,24.002
-123.505,48.59166667,93,2014-03-12,98,7.87,32.211,0.274,1.455,1.974,2.951,128.703,30.807,24.002
-123.505,48.59166667,93,2014-03-12,99,7.885,32.228,0.272,1.442,1.968,2.883,125.715,30.811,24.004
-123.505,48.59166667,93,2014-03-12,100,7.901,32.247,0.263,1.427,1.97,2.857,124.611,30.817,24.005
-123.505,48.59166667,93,2014-03-12,101,7.915,32.264,0.263,1.419,1.968,2.869,125.134,30.822,24.008
-123.505,48.59166667,93,2014-03-12,102,7.922,32.274,0.275,1.417,1.967,2.875,125.4,30.825,24.009
-123.505,48.59166667,93,2014-03-12,103,7.911,32.266,0.273,1.416,1.974,2.885,125.823,30.825,24.011
-123.505,48.59166667,93,2014-03-12,104,7.932,32.294,0.265,1.386,1.988,2.765,120.571,30.837,24.017
-123.505,48.59166667,93,2014-03-12,105,7.978,32.344,0.261,1.341,1.996,2.638,115.045,30.849,24.02
-123.505,48.59166667,93,2014-03-12,106,7.96,32.329,0.265,1.333,1.996,2.572,112.154,30.848,24.022
-123.505,48.59166667,93,2014-03-12,107,7.975,32.346,0.263,1.318,1.996,2.521,109.955,30.852,24.023
-123.505,48.59166667,93,2014-03-12,108,7.992,32.365,0.268,1.307,1.996,2.492,108.69,30.857,24.024
-123.505,48.59166667,93,2014-03-12,109,8.005,32.38,0.26,1.296,1.999,2.452,106.941,30.861,24.026
-123.505,48.59166667,93,2014-03-12,110,8.017,32.394,0.268,1.282,1.999,2.38,103.793,30.865,24.027
-123.505,48.59166667,93,2014-03-12,111,8.039,32.418,0.266,1.259,2,2.264,98.746,30.87,24.028
-123.505,48.59166667,93,2014-03-12,112,8.068,32.45,0.268,1.232,2.002,2.179,95.044,30.879,24.031
-123.505,48.59166667,93,2014-03-12,113,8.104,32.491,0.268,1.207,2.001,2.12,92.466,30.889,24.034
-123.505,48.59166667,93,2014-03-12,114,8.12,32.51,0.263,1.186,1.996,2.045,89.204,30.894,24.036
-123.505,48.59166667,93,2014-03-12,115,8.141,32.533,0.263,1.163,2,1.988,86.691,30.901,24.038
-123.505,48.59166667,93,2014-03-12,116,8.172,32.57,0.27,1.143,2.002,1.968,85.823,30.911,24.041
-123.505,48.59166667,93,2014-03-12,117,8.201,32.607,0.261,1.103,2.039,1.906,83.123,30.923,24.047
-123.505,48.59166667,93,2014-03-12,118,8.208,32.614,0.277,1.089,2.046,1.762,76.826,30.926,24.048
-123.505,48.59166667,93,2014-03-12,119,8.233,32.645,0.258,1.067,2.053,1.64,71.54,30.934,24.051
-123.505,48.59166667,93,2014-03-12,120,8.268,32.685,0.26,1.037,2.049,1.503,65.556,30.946,24.055
-123.505,48.59166667,93,2014-03-12,121,8.299,32.72,0.263,1.005,2.045,1.408,61.404,30.956,24.058
-123.505,48.59166667,93,2014-03-12,122,8.347,32.777,0.28,0.975,2.049,1.323,57.688,30.972,24.064
-123.505,48.59166667,93,2014-03-12,123,8.393,32.829,0.264,0.946,2.047,1.235,53.841,30.986,24.068
-123.505,48.59166667,93,2014-03-12,124,8.432,32.873,0.263,0.919,2.046,1.151,50.204,30.997,24.072
-123.505,48.59166667,93,2014-03-12,125,8.463,32.909,0.263,0.893,2.05,1.058,46.139,31.007,24.075
-123.505,48.59166667,93,2014-03-12,126,8.5,32.952,0.26,0.863,2.046,0.95,41.447,31.018,24.078
-123.505,48.59166667,93,2014-03-12,127,8.529,32.986,0.26,0.834,2.047,0.886,38.616,31.028,24.082
-123.505,48.59166667,93,2014-03-12,128,8.578,33.042,0.263,0.81,2.052,0.823,35.869,31.044,24.087
-123.505,48.59166667,93,2014-03-12,129,8.607,33.077,0.26,0.782,2.049,0.687,29.973,31.053,24.09
-123.505,48.59166667,93,2014-03-12,130,8.622,33.096,0.256,0.745,2.052,0.542,23.649,31.06,24.093
-123.505,48.59166667,93,2014-03-12,131,8.671,33.153,0.26,0.706,2.055,0.428,18.665,31.075,24.098
-123.505,48.59166667,93,2014-03-12,132,8.728,33.218,0.263,0.673,2.052,0.373,16.27,31.093,24.103
-123.505,48.59166667,93,2014-03-12,133,8.776,33.273,0.26,0.649,2.052,0.318,13.863,31.108,24.108
-123.505,48.59166667,93,2014-03-12,134,8.799,33.3,0.263,0.622,2.058,0.212,9.249,31.115,24.11
-123.505,48.59166667,93,2014-03-12,135,8.818,33.325,0.252,0.591,2.051,0.119,5.168,31.124,24.114
-123.505,48.59166667,93,2014-03-12,136,8.871,33.388,0.263,0.567,2.053,0.091,3.977,31.142,24.12
-123.505,48.59166667,93,2014-03-12,137,8.928,33.455,0.26,0.55,2.059,0.078,3.397,31.161,24.126
-123.505,48.59166667,93,2014-03-12,138,8.943,33.473,0.263,0.539,2.056,0.063,2.76,31.166,24.128
-123.505,48.59166667,93,2014-03-12,139,8.952,33.484,0.26,0.531,2.055,0.056,2.451,31.169,24.129
-123.505,48.59166667,93,2014-03-12,140,8.959,33.494,0.252,0.525,2.061,0.051,2.224,31.173,24.131
-123.505,48.59166667,93,2014-03-12,141,8.967,33.506,0.264,0.522,2.06,0.046,2.01,31.177,24.133
-123.505,48.59166667,93,2014-03-12,142,8.991,33.536,0.263,0.519,2.059,0.043,1.853,31.188,24.138
-123.505,48.59166667,93,2014-03-12,143,9.002,33.551,0.263,0.517,2.067,0.042,1.823,31.193,24.141
